iter	Passed	Remaining
0	132	131881
1	132	66319
2	133	44488
3	134	33516
4	135	26955
5	136	22574
6	137	19438
7	137	17082
8	138	15259
9	139	13792
10	140	12600
11	140	11605
12	141	10757
13	142	10034
14	143	9405
15	144	8862
16	144	8382
17	145	7951
18	146	7566
19	147	7215
20	148	6902
21	148	6621
22	149	6359
23	150	6117
24	151	5895
25	151	5692
26	152	5501
27	153	5324
28	154	5161
29	154	5009
30	155	4865
31	156	4735
32	157	4609
33	158	4493
34	159	4385
35	159	4278
36	160	4179
37	161	4086
38	162	3998
39	163	3914
40	163	3834
41	164	3756
42	165	3683
43	166	3615
44	167	3551
45	168	3487
46	168	3423
47	169	3362
48	170	3305
49	171	3250
50	171	3199
51	172	3147
52	173	3098
53	174	3050
54	174	3005
55	175	2963
56	176	2923
57	177	2884
58	178	2843
59	178	2804
60	179	2767
61	180	2733
62	181	2698
63	182	2665
64	183	2633
65	183	2600
66	184	2571
67	185	2536
68	185	2508
69	186	2483
70	187	2456
71	188	2429
72	189	2403
73	189	2376
74	190	2350
75	191	2326
76	192	2302
77	192	2279
78	193	2257
79	194	2236
80	195	2215
81	196	2195
82	196	2174
83	197	2155
84	198	2133
85	199	2116
86	199	2095
87	200	2079
88	201	2062
89	202	2045
90	203	2028
91	203	2011
92	204	1996
93	205	1981
94	206	1966
95	207	1952
96	208	1937
97	208	1922
98	209	1907
99	210	1893
100	211	1879
101	211	1862
102	212	1848
103	213	1835
104	213	1822
105	214	1809
106	215	1796
107	215	1782
108	216	1770
109	217	1757
110	217	1745
111	218	1733
112	219	1721
113	219	1709
114	220	1698
115	221	1686
116	222	1676
117	222	1666
118	223	1654
119	224	1644
120	224	1633
121	225	1623
122	226	1611
123	226	1601
124	227	1591
125	228	1582
126	228	1573
127	229	1562
128	230	1553
129	230	1544
130	231	1535
131	232	1525
132	232	1517
133	233	1508
134	234	1500
135	234	1492
136	235	1484
137	236	1475
138	237	1468
139	237	1460
140	238	1452
141	239	1445
142	239	1437
143	240	1430
144	241	1424
145	242	1417
146	242	1409
147	243	1402
148	244	1395
149	245	1388
150	245	1381
151	246	1374
152	247	1368
153	247	1361
154	248	1354
155	249	1348
156	249	1341
157	250	1335
158	251	1328
159	251	1322
160	252	1316
161	253	1310
162	254	1304
163	254	1298
164	255	1293
165	256	1287
166	256	1281
167	257	1275
168	258	1269
169	258	1263
170	259	1258
171	260	1252
172	260	1247
173	261	1241
174	262	1236
175	262	1231
176	263	1225
177	264	1220
178	265	1215
179	265	1210
180	266	1204
181	266	1199
182	267	1194
183	268	1189
184	269	1185
185	269	1180
186	270	1175
187	271	1170
188	271	1166
189	272	1161
190	273	1156
191	273	1152
192	274	1147
193	275	1142
194	275	1138
195	276	1134
196	277	1129
197	277	1125
198	278	1120
199	279	1116
200	279	1112
201	280	1107
202	281	1103
203	281	1099
204	282	1095
205	283	1091
206	283	1087
207	284	1083
208	285	1079
209	285	1075
210	286	1071
211	287	1068
212	287	1064
213	288	1060
214	289	1056
215	290	1052
216	290	1048
217	291	1045
218	292	1041
219	292	1037
220	293	1034
221	294	1030
222	294	1026
223	295	1023
224	296	1020
225	296	1016
226	297	1013
227	298	1010
228	298	1006
229	299	1003
230	300	1000
231	301	996
232	301	993
233	302	989
234	303	986
235	303	983
236	304	980
237	305	976
238	305	973
239	306	970
240	307	967
241	307	964
242	308	960
243	309	957
244	309	955
245	310	953
246	312	951
247	313	950
248	314	948
249	315	945
250	316	943
251	316	940
252	317	937
253	318	934
254	318	931
255	319	928
256	320	925
257	320	922
258	321	920
259	322	917
260	322	914
261	323	911
262	324	908
263	325	906
264	325	903
265	326	900
266	327	898
267	327	895
268	328	892
269	329	889
270	329	887
271	330	884
272	331	881
273	331	879
274	332	877
275	333	874
276	334	871
277	334	869
278	335	866
279	336	864
280	336	861
281	337	859
282	338	857
283	338	854
284	339	852
285	340	849
286	341	847
287	341	845
288	342	842
289	343	840
290	343	837
291	344	835
292	345	833
293	345	830
294	346	828
295	347	826
296	348	823
297	348	821
298	349	818
299	349	816
300	350	814
301	351	813
302	352	811
303	353	810
304	354	808
305	355	806
306	356	804
307	357	802
308	358	800
309	358	798
310	359	796
311	360	794
312	360	792
313	361	789
314	362	787
315	362	785
316	363	783
317	364	781
318	365	779
319	365	777
320	366	775
321	367	773
322	367	771
323	368	769
324	369	766
325	369	764
326	370	762
327	371	760
328	371	758
329	372	756
330	373	754
331	373	752
332	374	750
333	375	748
334	375	746
335	376	744
336	377	742
337	378	740
338	378	738
339	379	736
340	380	734
341	380	732
342	381	730
343	382	729
344	382	727
345	383	725
346	384	723
347	385	721
348	385	719
349	386	717
350	386	715
351	387	713
352	388	711
353	388	709
354	389	707
355	390	706
356	391	704
357	392	703
358	392	701
359	393	699
360	394	697
361	394	695
362	395	694
363	396	692
364	397	690
365	397	688
366	398	687
367	399	685
368	399	683
369	400	681
370	401	680
371	401	678
372	402	676
373	403	674
374	403	673
375	404	671
376	405	669
377	406	668
378	406	666
379	407	664
380	408	663
381	409	661
382	409	660
383	410	658
384	411	657
385	412	656
386	413	654
387	414	653
388	415	651
389	415	650
390	416	649
391	417	647
392	418	646
393	419	644
394	419	643
395	420	641
396	421	640
397	422	638
398	423	637
399	423	635
400	424	634
401	425	632
402	426	631
403	427	630
404	427	628
405	428	627
406	429	625
407	430	624
408	430	622
409	431	621
410	432	619
411	433	617
412	433	616
413	434	615
414	435	614
415	436	612
416	437	611
417	437	609
418	438	608
419	439	606
420	440	605
421	440	603
422	441	602
423	442	600
424	442	599
425	443	597
426	444	596
427	444	594
428	445	593
429	446	591
430	446	590
431	447	588
432	448	587
433	449	585
434	449	584
435	450	582
436	451	581
437	451	579
438	452	578
439	453	576
440	453	575
441	454	573
442	455	572
443	455	570
444	456	569
445	457	567
446	457	566
447	458	565
448	459	563
449	459	562
450	460	560
451	461	559
452	462	558
453	462	556
454	463	555
455	464	553
456	465	552
457	465	551
458	466	549
459	467	548
460	467	546
461	468	545
462	469	543
463	469	542
464	470	541
465	471	539
466	471	538
467	472	537
468	473	535
469	473	534
470	474	532
471	475	531
472	476	530
473	476	529
474	477	527
475	478	526
476	478	524
477	479	523
478	480	522
479	480	520
480	481	519
481	482	518
482	482	516
483	483	515
484	484	514
485	484	512
486	485	511
487	486	510
488	486	508
489	487	507
490	488	506
491	488	504
492	489	503
493	490	502
494	491	500
495	491	499
496	492	498
497	493	497
498	493	495
499	494	494
500	495	493
501	495	491
502	496	490
503	497	489
504	497	488
505	498	486
506	499	485
507	499	484
508	500	482
509	501	481
510	501	480
511	502	479
512	503	477
513	504	476
514	504	475
515	505	474
516	506	472
517	506	471
518	507	470
519	508	469
520	508	467
521	509	466
522	510	465
523	510	464
524	511	462
525	512	461
526	513	460
527	513	459
528	514	457
529	515	456
530	515	455
531	516	454
532	517	453
533	518	452
534	519	451
535	519	450
536	520	448
537	521	447
538	521	446
539	522	445
540	523	443
541	523	442
542	524	441
543	525	440
544	525	439
545	526	437
546	527	436
547	527	435
548	528	434
549	529	433
550	530	431
551	530	430
552	531	429
553	532	428
554	532	427
555	533	425
556	534	424
557	534	423
558	535	422
559	536	421
560	536	420
561	537	418
562	538	417
563	538	416
564	539	415
565	540	414
566	540	413
567	541	411
568	542	410
569	542	409
570	543	408
571	544	407
572	545	406
573	545	405
574	546	403
575	547	402
576	547	401
577	548	400
578	549	399
579	549	398
580	550	397
581	551	396
582	552	394
583	552	393
584	553	392
585	554	391
586	554	390
587	555	389
588	556	388
589	557	387
590	557	386
591	558	384
592	559	383
593	559	382
594	560	381
595	561	380
596	562	379
597	562	378
598	563	377
599	564	376
600	564	374
601	565	373
602	566	372
603	566	371
604	567	370
605	568	369
606	568	368
607	569	367
608	570	366
609	570	365
610	571	363
611	572	362
612	572	361
613	573	360
614	574	359
615	575	358
616	575	357
617	576	356
618	577	355
619	577	354
620	578	353
621	579	351
622	579	350
623	580	349
624	581	348
625	581	347
626	582	346
627	583	345
628	584	344
629	585	343
630	586	342
631	586	341
632	587	340
633	588	339
634	588	338
635	589	337
636	590	336
637	590	335
638	591	334
639	592	333
640	592	332
641	593	330
642	594	329
643	594	328
644	595	327
645	596	326
646	597	325
647	597	324
648	598	323
649	599	322
650	599	321
651	600	320
652	601	319
653	602	318
654	602	317
655	603	316
656	604	315
657	604	314
658	605	313
659	606	312
660	606	311
661	607	310
662	608	309
663	609	308
664	609	307
665	610	306
666	611	305
667	612	304
668	612	303
669	613	302
670	614	301
671	615	300
672	615	299
673	616	298
674	617	297
675	617	296
676	618	295
677	619	294
678	619	293
679	620	292
680	621	291
681	621	290
682	622	288
683	623	287
684	624	287
685	624	286
686	625	284
687	626	283
688	626	282
689	627	281
690	628	280
691	628	279
692	629	278
693	630	277
694	630	276
695	631	275
696	632	274
697	632	273
698	633	272
699	634	271
700	635	270
701	635	269
702	636	268
703	637	267
704	637	266
705	638	265
706	639	264
707	639	263
708	640	262
709	641	261
710	642	260
711	642	259
712	643	258
713	643	257
714	644	256
715	645	256
716	646	255
717	646	254
718	647	253
719	648	252
720	648	251
721	649	250
722	650	249
723	651	248
724	652	247
725	652	246
726	653	245
727	654	244
728	654	243
729	655	242
730	656	241
731	656	240
732	657	239
733	658	238
734	659	237
735	659	236
736	660	235
737	661	234
738	661	233
739	662	232
740	663	231
741	663	230
742	664	229
743	665	229
744	666	228
745	667	227
746	669	226
747	670	225
748	671	224
749	671	223
750	672	223
751	673	222
752	674	221
753	674	220
754	675	219
755	676	218
756	676	217
757	677	216
758	678	215
759	678	214
760	679	213
761	680	212
762	681	211
763	681	210
764	682	209
765	683	208
766	683	207
767	684	206
768	685	205
769	686	204
770	686	204
771	687	203
772	688	202
773	688	201
774	689	200
775	690	199
776	691	198
777	691	197
778	692	196
779	693	195
780	693	194
781	694	193
782	695	192
783	696	191
784	696	190
785	697	189
786	698	188
787	699	188
788	699	187
789	700	186
790	701	185
791	701	184
792	702	183
793	703	182
794	703	181
795	704	180
796	705	179
797	705	178
798	706	177
799	707	176
800	708	175
801	708	174
802	709	174
803	710	173
804	710	172
805	711	171
806	712	170
807	712	169
808	713	168
809	714	167
810	715	166
811	715	165
812	716	164
813	717	163
814	717	162
815	718	162
816	719	161
817	719	160
818	720	159
819	721	158
820	722	157
821	722	156
822	723	155
823	724	154
824	724	153
825	725	152
826	726	151
827	726	150
828	727	150
829	728	149
830	728	148
831	729	147
832	730	146
833	730	145
